Borough,Block,Lot,"Tax Class Code","Building Class","Community Board","Council District",number,name,zip,"Water Debt Only","Sold in Regular / Subsequent Sale","Trust Destination"
2,5641,1036,4,R5,210,13,170,SCHOFIELD STREET,10464,NO,Subsequent,2016-A
2,5641,1037,4,R5,210,13,170,SCHOFIELD STREET,10464,NO,Subsequent,2016-A
2,5641,1038,4,R5,210,13,170,SCHOFIELD STREET,10464,NO,Subsequent,2016-A
2,5641,1039,4,R5,210,13,170,SCHOFIELD STREET,10464,NO,Subsequent,2016-A
2,5641,1040,4,R5,210,13,170,SCHOFIELD STREET,10464,NO,Subsequent,2016-A
2,5641,1041,4,RG,210,13,170,SCHOFIELD STREET,10464,NO,Subsequent,2016-A
2,5645,9,4,K1,210,13,414,CITY ISLAND AVENUE,10464,NO,Subsequent,2016-A
2,5645,159,1,A1,210,13,221,KIRBY STREET,10464,NO,Regular,2016-A
2,5766,754,1,B1,208,11,270,WEST 238 STREET,10463,YES,Regular,2016-A
2,5784,334,1,C0,208,11,3254,CAMBRIDGE AVENUE,10463,NO,Regular,2016-A
2,5875,910,1,A1,208,11,266,WEST 261 STREET,10471,NO,Regular,2016-A
2,5878,805,1,B2,208,11,6035,TYNDALL AVENUE,10471,NO,Subsequent,2016-A
2,5887,1320,2,C3,208,11,6120,RIVERDALE AVENUE,10471,NO,Regular,2016-A
3,146,15,2,S3,302,33,227,DUFFIELD STREET,11201,NO,Subsequent,2016-A
3,172,54,1,B3,302,33,397,STATE STREET,11217,YES,Regular,2016-A
3,186,12,4,O2,302,33,540,ATLANTIC AVENUE,11217,NO,Regular,2016-A
3,198,43,2,S4,302,33,66,4 AVENUE,11217,NO,Subsequent,2016-A
3,274,9,2,S5,302,33,103,ATLANTIC AVENUE,11201,NO,Regular,2016-A
3,319,3,1,S2,306,39,181,COLUMBIA STREET,11231,YES,Regular,2016-A
3,321,34,1,C0,306,39,120,KANE STREET,11231,YES,Regular,2016-A
3,323,24,2,C3,306,39,451,HENRY STREET,11231,YES,Subsequent,2016-A
3,336,1002,4,RG,306,39,158,SACKETT STREET,11231,NO,Regular,2016-A
3,342,1002,4,RK,306,39,120,UNION STREET,11231,NO,Regular,2016-A
3,347,1102,2,R4,306,39,25,CARROLL STREET,11231,NO,Regular,2016-A
3,350,28,2,C1,306,39,426,CLINTON STREET,11231,NO,Subsequent,2016-A
3,364,1056,4,RG,306,39,653,HICKS STREET,11231,NO,Regular,2016-A
3,373,1,2,S5,306,39,671,HENRY STREET,11231,NO,Regular,2016-A
3,374,48,1,C0,306,39,149,LUQUER STREET,11231,YES,Subsequent,2016-A
3,384,11,1,C0,302,33,10,BERGEN STREET,11201,YES,Regular,2016-A
3,387,15,2,C3,302,33,206A,BERGEN STREET,11217,NO,Subsequent,2016-A
3,389,26,2,C3,302,33,342,BERGEN STREET,11217,NO,Subsequent,2016-A
3,390,3,2,S5,302,33,217,COURT STREET,11201,NO,Regular,2016-A
3,391,52,1,C0,302,33,351,WARREN STREET,11201,NO,Regular,2016-A
3,399,30,1,C0,306,33,492,WARREN STREET,11217,YES,Regular,2016-A
3,403,30,2,C1,306,33,372,BALTIC STREET,11201,NO,Regular,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
3,409,43,1,C0,306,33,111,DOUGLASS STREET,11231,YES,Regular,2016-A
3,413,26,4,F9,306,33,324,BUTLER STREET,11217,NO,Subsequent,2016-A
3,413,27,4,F9,306,33,326,BUTLER STREET,11217,NO,Subsequent,2016-A
3,413,29,4,G2,306,33,328,BUTLER STREET,11217,NO,Subsequent,2016-A
3,413,50,4,E9,306,33,321,DOUGLASS STREET,11217,NO,Subsequent,2016-A
3,417,14,4,E9,306,33,198,DOUGLASS STREET,11217,NO,Subsequent,2016-A
3,430,40,2,C7,306,39,306,BOND STREET,11231,NO,Subsequent,2016-A
3,433,57,2,C3,306,39,555,UNION STREET,11215,NO,Subsequent,1998-2
3,436,70,2,C2,306,39,303,PRESIDENT STREET,11231,NO,Subsequent,2016-A
3,464,1001,4,RS,306,39,395,SMITH STREET,11231,NO,Regular,1998-2
3,512,36,1,C0,306,38,362,COLUMBIA STREET,11231,YES,Regular,2016-A
3,520,11,2,C2,306,38,14,LUQUER STREET,11231,NO,Subsequent,2016-A
3,531,12,4,O2,306,38,101,VISITATION PLACE,11231,NO,Subsequent,2016-A
3,534,41,4,E9,306,38,17,WEST 9 STREET,11231,NO,Regular,2016-A
3,577,25,1,C0,306,38,15,WOLCOTT STREET,11231,YES,Regular,2016-A
3,585,31,4,G1,306,38,210,CONOVER STREET,11231,NO,Regular,2016-A
3,588,40,4,F9,306,38,46,COFFEY STREET,11231,NO,Regular,2016-A
3,589,8,4,V1,306,38,147,DWIGHT STREET,11231,NO,Regular,2016-A
3,597,27,4,V1,306,39,8,VAN BRUNT STREET,11231,NO,Subsequent,2016-A
3,603,24,4,V1,306,38,432,VAN BRUNT STREET,11231,NO,Subsequent,2016-A
3,631,7,4,K1,307,38,605,4 AVENUE,11215,NO,Regular,2016-A
3,633,12,4,O5,307,38,122,18 STREET,11215,NO,Subsequent,2016-A
3,636,15,1,B9,307,38,128,19 STREET,11232,NO,Subsequent,2016-A
3,636,64,4,K4,307,38,663,3 AVENUE,11232,YES,Subsequent,2016-A
3,646,50,2,C1,307,38,229,23 STREET,11232,NO,Regular,2016-A
3,646,51,2,C1,307,38,227,23 STREET,11232,NO,Subsequent,2016-A
3,646,52,2,C1,307,38,225,23 STREET,11232,YES,Regular,2016-A
3,681,80,1,A5,307,38,177,33 STREET,11232,NO,Subsequent,2016-A
3,692,43,1,S1,307,38,946,4 AVENUE,11232,NO,Subsequent,2016-A
3,708,27,1,B9,307,38,350,39 STREET,11232,YES,Regular,2016-A
3,709,3,2,S9,307,38,3917,4 AVENUE,11232,YES,Regular,2016-A
3,709,13,4,G1,307,38,422,39 STREET,11232,YES,Regular,2016-A
3,709,14,2,C2,307,38,424,39 STREET,11232,NO,Subsequent,2016-A
3,712,35,4,E9,307,38,270,40 STREET,11232,NO,Regular,2016-A
3,718,19,1,B1,307,38,328,41 STREET,11232,NO,Subsequent,2016-A
3,718,34,1,C0,307,38,360,41 STREET,11232,YES,Regular,2016-A
3,735,18,4,V1,307,38,4521,1 AVENUE,11232,NO,Regular,2016-A
3,737,55,1,B9,307,38,355,45 STREET,11220,NO,Subsequent,2016-A
3,739,14,1,C0,307,38,524,44 STREET,11220,YES,Regular,2016-A
3,760,29,2,C3,312,38,862,46 STREET,11220,NO,Subsequent,2016-A
3,765,8,2,S9,307,38,4701,4 AVENUE,11220,NO,Subsequent,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
3,769,17,2,C3,312,38,832,47 STREET,11220,NO,Subsequent,2016-A
3,773,27,1,B9,307,38,348,48 STREET,11220,YES,Regular,2016-A
3,782,20,1,C0,307,38,334,49 STREET,11220,NO,Subsequent,2016-A
3,798,41,4,K1,307,38,5118,4 AVENUE,11220,NO,Subsequent,2016-A
3,798,43,2,S9,307,38,5124,4 AVENUE,11220,NO,Regular,2016-A
3,798,68,1,V0,307,38,313,52 STREET,11220,NO,Regular,2016-A
3,815,11,1,C0,307,38,410,53 STREET,11220,YES,Regular,2016-A
3,823,16,1,B9,307,38,424,54 STREET,11220,YES,Regular,2016-A
3,823,21,1,C0,307,38,436,54 STREET,11220,YES,Regular,2016-A
3,845,42,2,C1,307,38,5718,3 AVENUE,11220,YES,Regular,2016-A
3,875,41,2,S4,307,38,1712,8 AVENUE,11215,NO,Subsequent,2016-A
3,876,67,1,B9,307,38,469A,18 STREET,11215,YES,Subsequent,2016-A
3,877,22,1,C0,307,38,528,17 STREET,11215,NO,Subsequent,2016-A
3,899,53,2,C2,307,38,275,23 STREET,11215,YES,Subsequent,2016-A
3,900,17,4,E1,307,38,316,22 STREET,11215,NO,Subsequent,2016-A
3,903,144,2,C2,307,38,555,39 STREET,11232,NO,Regular,2016-A
3,916,63,2,C3,312,38,823,40 STREET,11232,YES,Regular,2016-A
3,924,1,2,C2,307,38,4223,7 AVENUE,11232,NO,Regular,2016-A
3,932,7,2,S4,306,39,65,4 AVENUE,11217,YES,Regular,2016-A
3,932,8,4,K4,306,39,63,4 AVENUE,11217,NO,Subsequent,2016-A
3,936,21,2,S4,306,39,270,FLATBUSH AVENUE,11217,NO,Regular,2016-A
3,945,47,2,C3,306,39,42,7 AVENUE,11217,NO,Regular,2016-A
3,952,31,2,C1,306,39,730,SACKETT STREET,11217,NO,Regular,2016-A
3,954,13,2,C1,306,39,102,BERKELEY PLACE,11217,NO,Regular,2016-A
3,958,22,2,C3,306,39,616,PRESIDENT STREET,11215,NO,Regular,2016-A
3,958,31,2,C3,306,39,630,PRESIDENT STREET,11215,NO,Regular,2016-A
3,958,33,2,C3,306,39,634,PRESIDENT STREET,11215,NO,Regular,2016-A
3,958,34,2,C3,306,39,636,PRESIDENT STREET,11215,NO,Regular,2016-A
3,969,41,2,C7,306,39,294,5 AVENUE,11215,NO,Regular,2016-A
3,993,37,1,S2,306,39,392,5 AVENUE,11215,YES,Subsequent,2016-A
3,994,1001,2,R8,306,39,378,6 AVENUE,11215,NO,Subsequent,2016-A
3,996,49,4,E9,306,39,131,8 STREET,11215,NO,Regular,2016-A
3,1004,49,4,K4,306,39,297,9 STREET,11215,NO,Subsequent,2016-A
3,1015,57,1,B2,306,39,219,11 STREET,11215,NO,Regular,2016-A
3,1018,41,2,S4,306,39,350,7 AVENUE,11215,NO,Regular,2016-A
3,1029,23,1,B3,306,39,316,12 STREET,11215,YES,Regular,2016-A
3,1048,10,4,K4,307,39,557,5 AVENUE,11215,NO,Regular,2016-A
3,1051,65,4,F9,307,39,135,PROSPECT AVENUE,11215,NO,Subsequent,2016-A
3,1053,1245,4,RG,307,39,198,16 STREET,11215,NO,Subsequent,2016-A
3,1053,1247,4,RG,307,39,198,16 STREET,11215,NO,Subsequent,2016-A
3,1053,1248,4,RG,307,39,198,16 STREET,11215,NO,Subsequent,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
3,1078,22,1,B3,306,39,538,2 STREET,11215,YES,Regular,2016-A
3,1094,59,1,C0,306,39,539,11 STREET,11215,NO,Regular,2016-A
3,1107,1,2,S9,307,39,1519,10 AVENUE,11215,YES,Subsequent,2016-A
3,1108,7,2,S3,307,39,465,7 AVENUE,11215,NO,Subsequent,2016-A
3,1128,1001,4,RB,308,35,700,PACIFIC STREET,11217,NO,Regular,2016-A
3,1132,69,4,M1,308,35,799,DEAN STREET,11238,NO,Subsequent,1998-2
3,1134,97,4,K1,308,35,951,DEAN STREET,11238,NO,Regular,2016-A
3,1139,16,4,V1,308,35,776,DEAN STREET,11238,NO,Regular,2016-A
3,1139,31,4,G7,308,35,731,BERGEN STREET,11238,NO,Subsequent,2016-A
3,1152,1301,4,RB,308,35,238,ST MARKS AVENUE,11238,NO,Regular,2016-A
3,1155,143,1,B1,308,35,440,ST MARKS AVENUE,11238,NO,Subsequent,2016-A
3,1156,56,1,C0,308,35,674,FRANKLIN AVENUE,11238,YES,Subsequent,2016-A
3,1158,27,1,B3,308,35,192,PROSPECT PLACE,11238,NO,Regular,2016-A
3,1159,28,1,C0,308,35,274,PROSPECT PLACE,11238,YES,Regular,2016-A
3,1159,67,1,A4,308,35,317,PARK PLACE,11238,NO,Regular,2016-A
3,1172,31,1,S2,308,35,314,ST JOHNS PLACE,11238,YES,Regular,2016-A
3,1181,52,2,C7,308,35,327,EASTERN PARKWAY,11238,YES,Regular,2016-A
3,1197,4,4,GW,309,40,503,FLATBUSH AVENUE,11225,NO,Subsequent,2016-A
3,1206,47,1,C0,308,36,1191,DEAN STREET,11216,YES,Regular,2016-A
3,1208,25,1,B9,308,36,1352,PACIFIC STREET,11216,YES,Regular,2016-A
3,1208,32,2,C3,308,36,1366,PACIFIC STREET,11216,YES,Regular,2016-A
3,1211,2,1,S2,308,35,629,FRANKLIN AVENUE,11238,YES,Regular,2016-A
3,1212,68,2,C3,308,36,1049,BERGEN STREET,11216,NO,Subsequent,2016-A
3,1217,39,1,B3,308,35,1002,BERGEN STREET,11216,YES,Subsequent,2016-A
3,1219,33,4,K7,308,36,1078,BERGEN STREET,11216,NO,Subsequent,2016-A
3,1219,46,2,C5,308,36,685,ST MARKS AVENUE,11216,NO,Subsequent,2016-A
3,1222,56,2,C1,308,36,889,ST MARKS AVENUE,11213,NO,Regular,2016-A
3,1224,26,2,C2,308,35,588,ST MARKS AVENUE,11216,NO,Regular,2016-A
3,1226,73,1,B1,308,36,723,PROSPECT PLACE,11216,YES,Regular,2016-A
3,1226,1007,2,R1,308,36,727,PROSPECT PLACE,11216,NO,Regular,2016-A
3,1231,14,4,Z9,308,35,691,FRANKLIN AVENUE,11238,NO,Subsequent,1998-2
3,1232,32,4,V1,308,36,737,PARK PLACE,11216,NO,Subsequent,2016-A
3,1233,1,4,V1,308,36,115,ROGERS AVENUE,11216,NO,Subsequent,2016-A
3,1233,8,4,V1,308,36,103,ROGERS AVENUE,11216,NO,Regular,2016-A
3,1233,9,2,C1,308,36,101,ROGERS AVENUE,11216,NO,Subsequent,2016-A
3,1234,80,2,C7,308,36,691,NOSTRAND AVENUE,11216,NO,Subsequent,2016-A
3,1238,1,2,S9,308,35,655,STERLING PLACE,11216,NO,Regular,2016-A
3,1239,18,2,C1,308,36,744,PARK PLACE,11216,NO,Subsequent,2016-A
3,1240,38,4,J9,308,36,750,NOSTRAND AVENUE,11216,NO,Subsequent,2016-A
3,1241,43,2,C1,308,36,228,NEW YORK AVENUE,11216,NO,Subsequent,2016-A
3,1241,77,2,S4,308,36,863,STERLING PLACE,11216,NO,Regular,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
3,1244,3,2,S4,308,36,227,KINGSTON AVENUE,11213,NO,Subsequent,2016-A
3,1246,17,4,W2,308,35,116,ROGERS AVENUE,11216,NO,Subsequent,2016-A
3,1247,72,4,G1,308,35,773,ST JOHNS PLACE,11216,NO,Subsequent,2016-A
3,1248,35,1,A4,308,35,914,STERLING PLACE,11216,NO,Regular,2016-A
3,1255,31,1,A4,308,35,904,ST JOHNS PLACE,11216,NO,Regular,2016-A
3,1255,51,2,C3,308,35,851,LINCOLN PLACE,11216,NO,Subsequent,2016-A
3,1256,106,1,B3,308,35,259,NEW YORK AVENUE,11216,NO,Regular,2016-A
3,1257,88,1,B1,308,35,1011,LINCOLN PLACE,11213,NO,Subsequent,2016-A
3,1258,46,1,B9,308,35,288,ALBANY AVENUE,11213,YES,Regular,2016-A
3,1260,34,1,B9,308,35,431,EASTERN PARKWAY,11216,YES,Subsequent,2016-A
3,1260,124,4,Z9,308,35,166A,ROGERS AVENUE,11216,NO,Subsequent,1998-2
3,1263,21,1,C0,308,35,912,LINCOLN PLACE,11213,YES,Regular,2016-A
3,1263,26,1,B9,308,35,922,LINCOLN PLACE,11213,NO,Subsequent,2016-A
3,1270,14,1,C0,309,35,646,EASTERN PARKWAY,11213,NO,Subsequent,2016-A
3,1275,1,1,S1,309,35,235,ROGERS AVENUE,11225,NO,Regular,2016-A
3,1280,36,4,W2,309,35,1594,BEDFORD AVENUE,11225,NO,Subsequent,1998-2
3,1285,24,1,S1,309,35,1378,PRESIDENT STREET,11213,YES,Regular,2016-A
3,1286,55,1,B9,309,35,1425,CARROLL STREET,11213,NO,Regular,2016-A
3,1290,9,4,K4,309,35,875,NOSTRAND AVENUE,11225,NO,Regular,2016-A
3,1290,10,4,K4,309,35,873,NOSTRAND AVENUE,11225,NO,Regular,2016-A
3,1290,51,1,A9,309,35,335,CROWN STREET,11225,NO,Subsequent,2016-A
3,1295,30,1,A4,309,35,178,CROWN STREET,11225,NO,Regular,2016-A
3,1295,35,1,A4,309,35,188,CROWN STREET,11225,NO,Regular,2016-A
3,1300,1015,2,R2,309,35,504,CROWN STREET,11213,NO,Subsequent,2016-A
3,1310,46,1,B9,309,35,430,BROOKLYN AVENUE,11225,YES,Regular,2016-A
3,1310,48,1,S2,309,35,434,BROOKLYN AVENUE,11225,NO,Subsequent,2016-A
3,1314,67,1,B1,309,40,177,STERLING STREET,11225,YES,Subsequent,2016-A
3,1319,4,2,S4,309,40,1785,BEDFORD AVENUE,11225,NO,Regular,2016-A
3,1319,5,2,S4,309,40,1783,BEDFORD AVENUE,11225,NO,Regular,2016-A
3,1319,52,2,S4,309,40,420,ROGERS AVENUE,11225,YES,Subsequent,2016-A
3,1319,82,1,B1,309,40,153,LEFFERTS AVENUE,11225,YES,Subsequent,2016-A
3,1333,1072,2,R4,309,41,621,EAST NEW YORK AVENUE,11203,NO,Regular,2016-A
3,1334,50,1,B2,308,36,1623,PACIFIC STREET,11213,YES,Regular,2016-A
3,1336,15,4,G1,308,36,1750,ATLANTIC AVENUE,11213,NO,Subsequent,2016-A
3,1336,85,1,B9,308,36,1739,PACIFIC STREET,11213,YES,Regular,2016-A
3,1339,33,4,Z9,308,41,1966,ATLANTIC AVENUE,11233,NO,Subsequent,2016-A
3,1340,11,2,C3,308,36,107,ALBANY AVENUE,11213,NO,Subsequent,2016-A
3,1341,44,4,M1,308,36,90,SCHENECTADY AVENUE,11213,NO,Subsequent,1998-2
3,1342,16,1,B9,308,36,1696,PACIFIC STREET,11213,NO,Subsequent,2016-A
3,1346,6,1,C0,308,36,139,ALBANY AVENUE,11213,NO,Subsequent,2016-A
3,1348,10,1,C0,308,36,1662,DEAN STREET,11213,NO,Subsequent,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
3,1349,22,1,C0,308,36,1770,DEAN STREET,11233,NO,Subsequent,2016-A
3,1354,67,1,B9,308,36,1149,ST MARKS AVENUE,11213,NO,Subsequent,2016-A
3,1356,65,1,C0,308,36,1281,ST MARKS AVENUE,11213,NO,Regular,2016-A
3,1357,32,1,C0,308,41,1772,BERGEN STREET,11233,NO,Subsequent,1998-2
3,1366,87,1,B9,308,36,1333,PARK PLACE,11213,NO,Regular,2016-A
3,1367,84,1,B1,308,36,1421,PARK PLACE,11213,YES,Regular,2016-A
3,1369,17,2,C3,308,41,1580,PROSPECT PLACE,11233,NO,Regular,2016-A
3,1369,20,2,C3,308,41,1584,PROSPECT PLACE,11233,YES,Regular,2016-A
3,1369,35,2,C3,308,41,1620,PROSPECT PLACE,11233,NO,Subsequent,2016-A
3,1375,41,4,M9,308,41,516,RALPH AVENUE,11233,NO,Subsequent,1998-2
3,1375,48,1,C0,308,41,530,RALPH AVENUE,11233,YES,Regular,2016-A
3,1375,58,1,B1,308,41,1673,STERLING PLACE,11233,YES,Regular,2016-A
3,1376,35,1,C0,308,35,1248,STERLING PLACE,11213,YES,Regular,2016-A
3,1377,14,2,C2,308,35,1300,STERLING PLACE,11213,YES,Regular,2016-A
3,1377,31,2,C2,308,35,232,SCHENECTADY AVENUE,11213,NO,Subsequent,2016-A
3,1378,45,4,K2,308,36,216,UTICA AVENUE,11213,NO,Regular,2016-A
3,1381,11,4,E9,308,41,237,BUFFALO AVENUE,11213,NO,Subsequent,1998-2
3,1381,72,4,M1,308,41,1599,ST JOHNS PLACE,11233,NO,Subsequent,1998-2
3,1382,49,1,B9,308,35,270,TROY AVENUE,11213,NO,Subsequent,1998-2
3,1383,8,1,C0,308,35,253,TROY AVENUE,11213,NO,Subsequent,2016-A
3,1384,46,4,K2,308,35,244,UTICA AVENUE,11213,NO,Subsequent,2016-A
3,1386,35,4,M1,308,36,1574,ST JOHNS PLACE,11213,NO,Subsequent,1998-2
3,1400,6,4,V1,309,35,1512,UNION STREET,11213,NO,Subsequent,2016-A
3,1400,49,1,S2,309,35,332,TROY AVENUE,11213,YES,Subsequent,2016-A
3,1403,70,4,O8,309,41,1717,PRESIDENT STREET,11213,NO,Regular,2016-A
3,1403,72,1,B1,309,41,1711,PRESIDENT STREET,11213,NO,Subsequent,2016-A
3,1408,56,1,B1,309,35,1627,CARROLL STREET,11213,NO,Subsequent,2016-A
3,1408,71,1,B1,309,35,1601,CARROLL STREET,11213,YES,Regular,2016-A
3,1409,35,1,B1,309,41,1744,PRESIDENT STREET,11213,YES,Regular,2016-A
3,1414,76,2,C3,309,35,725,CROWN STREET,11213,YES,Regular,2016-A
3,1415,41,1,B1,309,41,859,CROWN STREET,11213,NO,Regular,2016-A
3,1415,87,2,C3,309,41,799,CROWN STREET,11213,NO,Subsequent,2016-A
3,1424,16,2,C3,309,41,940,MONTGOMERY STREET,11213,NO,Regular,2016-A
3,1426,61,1,A5,309,41,685,LEFFERTS AVENUE,11203,NO,Regular,2016-A
3,1428,45,4,K9,309,41,763,EAST NEW YORK AVENUE,11203,NO,Subsequent,2016-A
3,1429,1201,4,RP,309,41,770A,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1202,4,RP,309,41,770A,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1203,4,RP,309,41,770A,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1204,4,RP,309,41,770A,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1205,4,RP,309,41,770A,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1210,4,RP,309,41,770A,LEFFERTS AVENUE,11203,NO,Regular,1998-2
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
3,1429,1213,4,RP,309,41,770B,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1214,4,RP,309,41,770B,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1215,4,RP,309,41,770B,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1217,4,RP,309,41,770B,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1219,4,RP,309,41,770B,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1220,4,RP,309,41,770B,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1221,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1222,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1223,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1224,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1225,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1226,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1227,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1228,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1429,1229,4,RP,309,41,770C,LEFFERTS AVENUE,11203,NO,Regular,1998-2
3,1432,38,1,C0,316,41,2111,PACIFIC STREET,11233,NO,Regular,2016-A
3,1435,1,4,K1,316,37,195,ROCKAWAY AVENUE,11233,NO,Subsequent,2016-A
3,1435,27,1,C0,316,37,2294,ATLANTIC AVENUE,11233,NO,Regular,2016-A
3,1435,59,1,B9,316,37,2305A,PACIFIC STREET,11233,YES,Regular,2016-A
3,1435,62,1,B9,316,37,2303,PACIFIC STREET,11233,NO,Regular,2016-A
3,1442,21,2,C1,316,37,2240,PACIFIC STREET,11233,NO,Subsequent,2016-A
3,1446,54,1,C0,316,41,1919,BERGEN STREET,11233,YES,Regular,2016-A
3,1450,19,1,B9,316,37,2416,DEAN STREET,11233,YES,Regular,2016-A
3,1450,29,4,F9,316,37,1675,EAST NEW YORK AVENUE,11212,NO,Subsequent,2016-A
3,1452,71,2,D1,316,41,1493,ST MARKS AVENUE,11233,NO,Regular,2016-A
3,1452,73,2,D1,316,41,1489,ST MARKS AVENUE,11233,NO,Regular,2016-A
3,1452,74,2,D1,316,41,1487,ST MARKS AVENUE,11233,NO,Regular,2016-A
3,1452,76,2,D1,316,41,1483,ST MARKS AVENUE,11233,NO,Regular,2016-A
3,1454,115,1,V0,316,41,2026A,BERGEN STREET,11233,NO,Regular,1998-2
3,1455,6,4,G2,316,41,2096,BERGEN STREET,11233,YES,Regular,2016-A
3,1455,42,1,C0,316,41,2154,BERGEN STREET,11233,NO,Subsequent,2016-A
3,1456,1,4,V1,316,37,1613,EAST NEW YORK AVENUE,11212,NO,Regular,1998-2
3,1459,22,1,C0,316,41,1554,ST MARKS AVENUE,11233,YES,Regular,2016-A
3,1461,35,4,V1,316,41,1543,EAST NEW YORK AVENUE,11212,NO,Subsequent,1998-2
3,1462,36,4,V1,316,41,444,HOWARD AVENUE,11233,NO,Subsequent,2016-A
3,1465,16,4,M9,316,41,1658,EASTERN PARKWAY,11233,NO,Subsequent,1998-2
3,1470,46,4,V1,316,41,1707,ST JOHNS PLACE,11233,NO,Subsequent,1998-2
3,1475,11,2,C2,316,41,1399,EASTERN PARKWAY,11233,NO,Regular,2016-A
3,1475,71,1,C0,316,41,1429,PITKIN AVENUE,11233,YES,Regular,2016-A
3,1477,25,4,O7,316,41,1406,PITKIN AVENUE,11233,NO,Regular,2016-A
3,1481,18,4,Z9,303,41,832,MONROE STREET,11221,NO,Subsequent,2016-A
,,,,,,,,,,,,
Borough,Block,Lot,"TaxClassCode","BuildingClass","CommunityBoard","CouncilDistrict",House Number,Street Name,Zip Code,"WaterDebtOnly","Sold in Regular/ SubsequentSale","TrustDestination"
3,1483,32,1,B3,303,41,902,MADISON STREET,11221,NO,Regular,2016-A
3,1485,30,1,B3,303,41,1012,PUTNAM AVENUE,11221,YES,Regular,2016-A
3,1485,38,4,M9,303,41,40,HOWARD AVENUE,11221,NO,Regular,1998-2
3,1485,59,1,B3,303,41,917,JEFFERSON AVENUE,11221,YES,Regular,2016-A
3,1487,36,2,C1,303,41,914,JEFFERSON AVENUE,11221,NO,Subsequent,2016-A
3,1490,22,1,C0,303,41,836,HANCOCK STREET,11233,NO,Subsequent,2016-A
3,1490,35,2,C2,303,41,860,HANCOCK STREET,11233,NO,Regular,2016-A
3,1492,20,4,Z9,316,41,1546,BROADWAY,11221,NO,Regular,2016-A
3,1497,51,1,B9,303,41,697,MAC DONOUGH STREET,11233,YES,Regular,2016-A
3,1497,52,1,A9,303,41,693,MAC DONOUGH STREET,11233,NO,Subsequent,2016-A
3,1501,60,1,C0,303,41,601,DECATUR STREET,11233,YES,Regular,2016-A
3,1502,34,1,C0,316,41,784,MAC DONOUGH STREET,11233,YES,Subsequent,2016-A
3,1508,71,2,C2,303,41,319,CHAUNCEY STREET,11233,NO,Subsequent,2016-A
3,1511,40,1,S2,316,41,34,ROCKAWAY AVENUE,11233,YES,Regular,2016-A
3,1517,117,1,C0,316,37,546,CHAUNCEY STREET,11233,YES,Regular,2016-A
3,1519,24,1,B9,303,41,290,MARION STREET,11233,NO,Regular,2016-A
3,1522,38,4,K4,316,37,510,MARION STREET,11233,NO,Subsequent,2016-A
